ID,GlideNumber,Country,OtherCountry,lat,long,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3905,,USA,,22.0625,-159.53,2046.16,04/03/2012,07/03/2012,News,0,83,Heavy Rain,1.5
3906,FL-2012-000037-PSE,Gaza,,31.4583,34.4615,594.251,04/03/2012,07/03/2012,News,0,1200,Heavy Rain,1
3907,,Indonesia,,-3.18435,116.093,4597.04,04/03/2012,07/03/2012,News,5,0,Torrential Rain,1
3908,,Tanzania,,-1.83097,34.7926,6851.66,01/03/2012,07/03/2012,News,10,0,Heavy Rain,1
3909,,Madagascar,Mozambique,-18.9673,46.9438,566733.66,03/03/2012,07/03/2012,News,65,0,Tropical Storm Irina,1.5
3910,,Ecuador,,-0.5987,-79.4951,39793.06,01/03/2012,26/03/2012,News,10,4700,Heavy Rain,1.5
3911,,Chile,,-52.8256,-69.408,88870.6,01/03/2012,15/03/2012,News,0,1000,Heavy Rain,1.5
3912,,Fiji,,-17.7982,178.017,5579.97,29/03/2012,18/04/2012,News,6,14000,Heavy Rain,2
3913,,Canada,,46.5994,-67.4996,5440.53,25/03/2012,30/03/2012,News,0,500,Snowmelt,1.5
3914,,Philippines,,13.6288,123.278,5045.75,26/03/2012,30/03/2012,News,4,0,Torrential Rain,1
3915,,Haiti,Dominican Republic,19.4433,-72.5821,35151.93,08/04/2012,26/04/2012,News,9,11000,Heavy Rain,1.5
3916,FL-2012-000063-RUS,Russia,,55.6236,40.2645,681012.64,08/04/2012,26/04/2012,News,0,2600,Snowmelt,1
3917,,Kenya,,-2.44123,36.2141,117773.22,09/04/2012,26/04/2012,News,0,50,Heavy Rain,1
3918,,Rwanda,,-1.40095,29.3596,43617.54,09/04/2012,18/04/2012,News,2,300,Heavy Rain,1
3919,FL-2012-000056-PRY,Paraguay,Argentina,-23.6467,-59.2722,120344.81,05/04/2012,26/04/2012,News,2,5000,Torrential Rain,1.5
3920,,Saudi Arabia,Oman,20.5946,51.0064,233126.25,14/04/2012,18/04/2012,News,19,0,Torrential Rain,1.5
3921,,Kenya,,-0.191962,35.0189,12660.17,20/04/2012,16/05/2012,News,56,0,Torrential Rain,1.5
3922,,Columbia,,3.606,-73.0738,74036.01,20/04/2012,26/04/2012,News,17,56000,Heavy Rain,1.5
3923,FL-2012-000071-NPL,Nepal,,28.524,83.8307,4395.45,05/05/2012,07/05/2012,News,17,0,Avalance Breach,2
3924,,Afghanistan,,34.2696,64.1872,21754.66,01/05/2012,07/05/2012,News,26,0,Torrential Rain,1.5
3925,,Brazil,,-3.64908,-62.0228,127883.42,01/05/2012,07/05/2012,News,0,3000,Heavy Rain,2
3926,,China,,32.4515,106.493,1056107.69,08/05/2012,16/05/2012,News,53,185000,Heavy Rain,1.5
3927,,Tanzania,,-2.41184,30.7909,45092.49,13/05/2012,16/05/2012,News,0,300,Heavy Rain,1
3928,FF-2012-000079-GEO,Georgia,,42.0681,44.5194,15849.06,12/05/2012,16/05/2012,News,5,1400,Torrential Rain,1
3929,,Afghanistan,,37.0528,70.0048,14162.67,12/05/2012,16/05/2012,News,20,0,Torrential Rain,1
3930,,Uganda,,1.00099,33.3224,43315.84,20/05/2012,29/05/2012,News,0,3000,Heavy Rain,1
3931,,Russia,,68.0009,157.95,22717.12,20/05/2012,29/05/2012,News,0,1000,Heavy Rain,1.5
3932,FL-2012-000083-HND,Honduras,,14.1478,-86.5954,6519.13,22/05/2012,29/05/2012,News,0,500,Heavy Rain,1
3933,,Canada,,61.4228,-132.089,673741.48,06/06/2012,12/06/2012,News,0,0,Heavy Rain,1
3934,,India,,26.5659,92.4354,29190.16,06/06/2012,16/07/2012,News,109,400000,Monsoonal Rain,1.5
3935,,Philippines,,6.87373,124.785,23515.69,08/06/2012,12/06/2012,News,1,700,Heavy Rain,1
3936,,Taiwan,,24.0587,120.939,18940.52,09/06/2012,12/06/2012,News,4,3000,Torrential Rain,1.5
3937,,USA,,30.3632,-85.5123,20116.97,09/06/2012,12/06/2012,News,1,300,Torrential Rain,1.5
3938,,USA,,28.9635,-82.4958,67994.98,22/06/2012,02/07/2012,News,3,17000,Tropical Storm Debby,2
3939,,Bangladesh,,22.1723,92.0988,9560.29,24/06/2012,02/07/2012,News,106,102000,Monsoonal Rain,1.5
3940,,Canada,,53.8526,-122.811,213387.37,20/06/2012,26/06/2012,News,1,700,Heavy Rain and Snowmelt,1.5
3941,,Afghanistan,,33.6249,65.0555,71504.75,23/06/2012,26/06/2012,News,0,24,Torrential Rain,1.5
3942,,China,,33.4553,106.943,2643786.56,22/06/2012,02/07/2012,News,50,120000,Monsoonal Rain,1.5
3943,FF-2012-000115-RUS,Russia,,44.8644,38.5436,18552.42,06/07/2012,16/07/2012,News,171,24000,Torrential Rain,2
3944,,Turkey,,41.0185,36.7667,6084.92,03/07/2012,09/07/2012,News,10,0,Torrential Rain,1.5
3945,,India,,26.1094,86.557,2638.64,04/07/2012,23/07/2012,News,9,1500,Monsoonal Rain,1
3946,,Moldava,,46.8848,28.8071,9902.76,08/07/2012,09/07/2012,News,0,400,Heavy Rain,1.5
3947,FL-2012-000114-JPN,Japan,,33.424,130.566,7922.95,04/07/2012,16/07/2012,News,28,3000,Heavy Rain,2
3948,,USA,,29.578,-95.8087,24530.67,13/07/2012,16/07/2012,News,0,100,Torrential Rain,1.5
3949,,China,,31.4158,113.04,92141.11,09/07/2012,25/07/2012,News,58,140000,Monsoonal Rain,1.5
3950,,China,,42.3329,117.702,29832.3,21/07/2012,25/07/2012,News,77,0,Torrential Rain,2
3951,FF-2012-000120-GEO,Georgia,,41.7,44.8967,19591.01,19/07/2012,23/07/2012,News,0,0,Torrential Rain,1
3952,,Indonesia,,0.782182,122.436,8218.79,20/07/2012,23/07/2012,News,0,586,Torrential Rain,1
3953,,Philippines,,15.2044,121.195,9576.58,21/07/2012,23/07/2012,News,8,0,Monoonal Rain,1.5
3954,,Nigeria,,10.5918,8.0195,45292.27,22/07/2012,25/07/2012,News,50,2000,Heavy Rain,1.5
3955,,North Korea,,38.7791,126.027,33081.58,20/07/2012,06/08/2012,News,169,63000,Heavy Rain,2
3956,,Philippines,,15.9469,121.037,59723.23,28/07/2012,06/08/2012,News,3,13000,Tropical Storm Saola,1.5
3957,,Costa Rica,,8.79605,-81.1113,20820.98,28/07/2012,30/07/2012,News,1,1500,Heavy Rain,1
3958,,China,,34.7959,110.85,100600.98,25/07/2012,30/07/2012,News,0,40000,Heavy Rain,1.5
